66666,1515,082,0015,1515,0,6,GONI,20151008,,,
15081318,002,2,122,1511,1006,000,,,,,
15081400,002,2,123,1504,1004,000,,,,,
15081406,002,2,124,1499,1002,000,,,,,
15081412,002,2,127,1491,1002,000,,,,,
15081418,002,3,130,1482,1000,035,00000,0000,90060,0060,
15081500,002,3,135,1470,994,045,00000,0000,90090,0090,
15081506,002,3,138,1464,992,045,00000,0000,90120,0120,
15081512,002,4,142,1460,990,050,00000,0000,90120,0120,
15081518,002,4,144,1454,985,055,90050,0050,90120,0120,
15081600,002,4,147,1448,980,060,90050,0050,90120,0120,
15081606,002,4,150,1442,980,060,90050,0050,90120,0120,
15081612,002,5,155,1436,970,065,90080,0080,90150,0150,
15081618,002,5,160,1427,960,075,90080,0080,90150,0150,
15081700,002,5,165,1417,950,085,90080,0080,90150,0150,
15081706,002,5,170,1405,935,095,90080,0080,90180,0180,
15081712,002,5,173,1392,935,095,90080,0080,90180,0180,
15081718,002,5,177,1378,935,095,90080,0080,90180,0180,
15081800,002,5,182,1360,935,095,90080,0080,90180,0180,
15081806,002,5,186,1346,935,095,90080,0080,90180,0180,
15081812,002,5,187,1329,935,095,90080,0080,90180,0180,
15081818,002,5,188,1312,945,085,90080,0080,90160,0160,
15081900,002,5,189,1299,945,085,90080,0080,90160,0160,
15081906,002,5,190,1284,945,085,90080,0080,90160,0160,
15081912,002,5,189,1273,940,090,90080,0080,90190,0190,
15081918,002,5,189,1261,940,090,90080,0080,90190,0190,
15082000,002,5,188,1253,940,090,90080,0080,40220,0190,
15082006,002,5,189,1247,945,085,90080,0080,40240,0190,
15082012,002,5,190,1240,945,085,90080,0080,40240,0190,
15082018,002,5,191,1232,945,085,90080,0080,40240,0190,
15082100,002,5,192,1229,945,085,90080,0080,40240,0190,
15082106,002,5,193,1224,945,085,90080,0080,40240,0190,
15082112,002,5,193,1223,955,080,90070,0070,40240,0180,
15082118,002,5,196,1225,955,080,90070,0070,40240,0180,
15082200,002,5,201,1226,955,080,90070,0070,40240,0180,
15082206,002,5,207,1227,955,080,90070,0070,40240,0180,
15082212,002,5,213,1231,955,080,90070,0070,40240,0180,
15082215,002,5,219,1232,955,080,90070,0070,40240,0180,
15082218,002,5,224,1232,955,080,90070,0070,40240,0180,
15082221,002,5,228,1233,955,080,90070,0070,40240,0180,
15082300,002,5,231,1233,955,080,90050,0050,40240,0180,
15082303,002,5,235,1234,955,080,90050,0050,40240,0180,
15082306,002,5,238,1235,950,085,90050,0050,40240,0180,
15082309,002,5,242,1238,940,090,90060,0060,30210,0150,
15082310,002,5,243,1239,940,090,90060,0060,30210,0150,#
15082312,002,5,245,1240,935,095,90060,0060,30210,0150,
15082315,002,5,248,1242,935,095,90060,0060,30210,0150,
15082318,002,5,252,1246,930,100,90060,0060,30210,0150,
15082321,002,5,257,1253,930,100,90060,0060,30210,0150,
15082400,002,5,262,1259,930,100,30080,0060,30210,0150,
15082403,002,5,271,1267,930,100,30080,0060,30210,0150,
15082406,002,5,279,1274,930,100,30090,0060,30210,0150,
15082409,002,5,288,1281,930,100,30090,0060,30210,0150,
15082412,002,5,296,1288,940,090,30090,0050,30210,0150,
15082415,002,5,305,1295,940,090,30090,0050,30210,0150,
15082418,002,5,317,1299,940,090,30090,0050,90250,0250,
15082419,002,5,320,1301,945,085,30090,0050,90250,0250,#
15082420,002,5,324,1305,950,085,30090,0050,90250,0250,#
15082421,002,5,328,1305,955,080,20100,0050,90250,0250,#
15082500,002,5,338,1304,965,070,20100,0050,90250,0250,
15082503,002,5,346,1306,965,070,20100,0060,90250,0250,
15082506,002,5,353,1310,965,070,10090,0060,90250,0250,
15082509,002,4,360,1318,970,060,80080,0050,90250,0250,
15082512,002,6,365,1323,980,000,,,,,
15082518,002,6,377,1330,980,000,,,,,
15082600,002,6,393,1335,984,000,,,,,
15082606,002,6,405,1341,984,000,,,,,
15082612,002,6,413,1339,988,000,,,,,
15082618,002,6,430,1330,990,000,,,,,
15082700,002,6,444,1318,998,000,,,,,
15082706,002,6,445,1286,1000,000,,,,,
15082712,002,6,442,1273,1002,000,,,,,
15082718,002,6,439,1267,1002,000,,,,,
15082800,002,6,440,1264,1004,000,,,,,
15082806,002,6,441,1263,1002,000,,,,,
15082812,002,6,443,1264,1004,000,,,,,
15082818,002,6,445,1264,1006,000,,,,,
15082900,002,6,446,1264,1006,000,,,,,
15082906,002,6,449,1264,1006,000,,,,,
15082912,002,6,452,1261,1008,000,,,,,
15082918,002,6,455,1258,1008,000,,,,,
15083000,002,6,455,1258,1010,000,,,,,
15083006,002,6,455,1258,1010,000,,,,,
66666,1516,062,0016,1516,0,6,ATSANI,20151008,,,
15081400,002,2,148,1635,1004,000,,,,,
15081406,002,2,150,1630,1004,000,,,,,
15081412,002,2,150,1626,1004,000,,,,,
15081418,002,3,148,1624,1002,035,00000,0000,90120,0120,
15081500,002,3,147,1622,1002,035,00000,0000,90120,0120,
15081506,002,3,148,1620,1000,035,00000,0000,90120,0120,
15081512,002,3,149,1618,998,040,00000,0000,40150,0120,
15081518,002,3,148,1613,994,045,00000,0000,40150,0120,
15081600,002,3,144,1609,990,045,00000,0000,20150,0120,
15081606,002,4,145,1604,985,050,00000,0000,20180,0150,
15081612,002,4,144,1600,980,055,90050,0050,20180,0150,
15081618,002,4,143,1596,975,060,90060,0060,20230,0180,
15081700,002,5,145,1591,970,065,90080,0080,20270,0180,
15081706,002,5,147,1585,960,075,90080,0080,20270,0180,
15081712,002,5,151,1580,950,080,90080,0080,20270,0180,
