2816,284
2561,284
512,287
769,287
2561,483
527,511
2050,512
2303,512
2035,766
1025,767
364,767
513,768
1777,769
1208,1023
768,1023
1536,1024
511,1025
1266,1279
1509,1279
1024,1281
749,1535
1282,1536
1026,1546
513,1790
1281,1792
1006,1793
1042,2047
792,2064
1024,2313
770,2345
1025,2561
770,2591
768,2800
514,2809
1024,2816
768,3069
1024,3072
1280,3327
1536,3328
1025,3328
1537,3584
1279,3595
1792,3839
1537,3839
1280,3842
769,4066
515,4095
1793,4095
1536,4096
1025,4096
2047,4097
2304,4107
255,4351
1025,4351
1793,4354
257,4608
257,4863
513,4864
767,4982
